region,country,vegetable,dish,mix,dairy,sauce,herb,confectionery,spread,meat,bakery,cereal,alcohol,oil,additive,beverage,spice,condiment,fat,fruit,nut,legume,seasoning,vegetarian,seafood,vegan,tools,sweetener,seed,flavoring,fungi,flower
african,indian,2601,53,14,1269,190,509,24,93,422,114,400,29,1467,116,1448,9377,608,225,411,107,165,276,143,83,205,15,600,115,239,15,1
european,austrian,102,7,13,171,8,28,14,11,36,17,13,35,30,21,66,195,24,1,27,7,0,28,24,4,0,4,104,10,5,3,0
african,libyan,26,1,0,6,3,11,0,0,5,1,1,0,15,0,17,45,4,0,2,0,1,4,1,1,0,0,2,1,1,0,0
african,angolan,2,0,0,3,0,1,0,1,2,0,3,1,5,1,8,15,1,0,4,0,0,1,0,1,1,0,1,0,0,0,0
asian,korean,287,12,2,8,185,3,1,1,99,11,34,47,226,1,87,307,93,0,13,2,3,28,13,10,13,5,192,1,9,8,0
south-american,caribbean,1113,48,35,565,272,440,23,71,291,80,184,251,496,135,1055,2500,274,16,605,107,2,231,79,94,90,17,599,10,117,1,0
african,spanish,1143,19,6,311,63,463,10,44,307,97,152,271,491,15,337,1146,157,3,167,12,4,259,73,112,2,6,180,17,52,16,2
african,portuguese,348,10,3,136,36,152,4,19,119,36,41,117,177,20,161,467,69,9,39,0,3,79,8,40,4,2,87,1,22,3,0
african,caribbean,1113,48,35,565,272,440,23,71,291,80,184,251,496,135,1055,2500,274,16,605,107,2,231,79,94,90,17,599,10,117,1,0
african,pakistani,114,1,0,76,8,32,0,2,35,6,25,0,92,7,57,589,53,11,14,4,4,14,4,3,3,0,16,7,9,0,0
african,mexican,6997,607,138,5033,2874,2072,173,322,2823,291,1383,594,2245,257,2871,10934,937,128,1441,48,31,1516,231,258,59,108,1117,101,216,36,0
european,indian,2601,53,14,1269,190,509,24,93,422,114,400,29,1467,116,1448,9377,608,225,411,107,165,276,143,83,205,15,600,115,239,15,1
central-american,canadian,3037,268,141,3206,736,1351,119,336,1113,513,403,488,923,794,1741,5085,716,66,613,111,14,759,469,219,26,39,2107,166,195,82,5
european,thai,1382,46,6,68,1029,457,0,163,403,83,210,32,706,10,681,1663,498,1,288,47,3,109,90,176,355,10,653,5,78,30,1
central-american,honduran,16,1,0,12,7,7,0,3,3,2,5,0,6,2,9,28,3,0,5,1,0,2,1,4,1,0,3,0,2,0,0
south-american,puerto-rican,61,6,6,32,31,36,2,5,39,4,23,26,54,7,67,136,25,3,22,7,1,12,2,6,6,4,24,0,5,0,0
african,namibian,4,0,0,2,2,1,0,1,1,0,2,0,3,1,5,8,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
south-american,guatemalan,35,1,0,9,2,9,0,0,7,0,5,4,14,0,25,50,4,0,12,0,0,10,2,2,2,1,9,0,0,0,0
european,chinese,1697,90,24,139,1525,82,2,124,869,652,289,550,1800,77,804,2480,680,16,130,58,14,143,289,174,50,21,998,14,78,72,1
african,ecuadorean,42,0,1,29,4,16,0,3,8,1,10,6,17,0,24,49,10,1,9,1,0,11,4,7,0,1,11,1,1,0,0
south-american,cuban,226,3,5,86,45,119,2,16,109,18,42,52,111,6,183,414,66,3,72,2,0,43,14,6,1,6,68,1,14,0,0
asian,laotian,16,1,0,0,10,6,0,1,2,2,4,1,6,0,13,19,6,0,2,1,0,3,1,3,2,0,12,0,0,1,0
african,italian,6481,307,124,7051,1391,5113,168,243,2324,842,796,1358,2942,294,1790,7019,1153,32,380,55,17,1995,638,347,45,73,1338,127,324,167,2
african,canadian,3037,268,141,3206,736,1351,119,336,1113,513,403,488,923,794,1741,5085,716,66,613,111,14,759,469,219,26,39,2107,166,195,82,5
asian,mongolian,24,2,0,1,18,0,0,1,9,6,5,4,12,1,8,16,6,0,0,0,0,1,3,1,0,1,6,0,0,0,0
african,english,657,54,59,1177,114,375,62,99,317,159,71,202,282,196,369,1207,193,29,195,27,4,205,174,33,7,12,606,14,82,11,11
african,cuban,226,3,5,86,45,119,2,16,109,18,42,52,111,6,183,414,66,3,72,2,0,43,14,6,1,6,68,1,14,0,0
